label,stem,anchors,features,matched,recall,mean_isotopes,wrong_charge_only_rate,isotope_shift_only_rate,shifted_mass_match_rate
baseline,B03_10_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25120,134493,21181,0.8431926751592357,2.712996215416416,0.007882165605095541,0.09044585987261146,7.961783439490445e-05
baseline,B03_11_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25412,132283,21170,0.8330709900834251,2.71391637625394,0.007752243034786715,0.0898394459310562,0.0001967574374311349
baseline,B03_05_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25477,135559,21405,0.8401695647054206,2.717606355904071,0.007457706951367901,0.09078776936059976,7.850217843545158e-05
baseline,B03_06_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25628,135689,21571,0.8416965818635868,2.7208321971567333,0.009130638364289059,0.08943343218354924,7.803964413922273e-05
s0.4_c2,B03_10_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25120,134976,21256,0.8461783439490446,2.626422475106686,0.010031847133757961,0.08220541401273886,3.980891719745223e-05
s0.4_c2,B03_11_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25412,132942,21235,0.8356288367700299,2.6229859638037643,0.009365654021722021,0.08232331182118684,0.00015740594994490792
s0.4_c2,B03_05_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25477,136216,21536,0.8453114573929427,2.628846831502907,0.00969501903677827,0.0805039839855556,0.00011775326765317738
s0.4_c2,B03_06_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25628,136264,21676,0.8457936631808959,2.632940468502319,0.010691431247073514,0.07991259559856408,3.9019822069611365e-05
s0.4_c4,B03_10_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25120,135075,21249,0.8458996815286625,2.5961058671108646,0.01054936305732484,0.08113057324840764,3.980891719745223e-05
s0.4_c4,B03_11_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25412,133087,21265,0.8368093813946167,2.5924695875630226,0.009601762946639383,0.0805131433968204,0.0001967574374311349
s0.4_c4,B03_05_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25477,136359,21565,0.8464497389802567,2.5982956753862965,0.010126781018173254,0.07850217843545158,0.00011775326765317738
s0.4_c4,B03_06_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25628,136288,21706,0.8469642578429842,2.6039856773890584,0.010769470891212735,0.07815670360543156,3.9019822069611365e-05
s0.4_c8,B03_10_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25120,136175,21131,0.8412022292993631,2.4294106847806134,0.012221337579617835,0.07993630573248407,3.980891719745223e-05
s0.4_c8,B03_11_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25412,134019,21124,0.8312608216590587,2.428834717465434,0.011136470958602235,0.07984416810955454,0.00023610892491736187
